month,item_name,item_category,product_view_events,add_to_cart_events,purchase_events,item_revenue,view_to_cart_rate
2020-11,Google Zip Hoodie F/C,Apparel,3,0,123,6564.0,0.0
2020-11,Google Badge Heavyweight Pullover Black,Apparel,72,0,112,5952.0,0.0
2020-11,Google Men's Tech Fleece Grey,Apparel,81,3,60,4654.0,3.7
2020-11,Super G Unisex Joggers,Shop by Brand,5,0,114,3975.0,0.0
2020-11,Google Crewneck Sweatshirt Green,Apparel,103,13,70,3245.0,12.62
2020-11,Google Women's Puff Jacket Black,Apparel,26,0,29,2714.0,0.0
2020-11,Google Navy Speckled Tee,Apparel,9,0,96,2706.0,0.0
2020-11,Google Men's Puff Jacket Black,Apparel,66,0,24,2438.0,0.0
2020-11,Google Sherpa Zip Hoodie Navy,Apparel,74,5,42,2338.0,6.76
2020-11,Google Sherpa Zip Hoodie Charcoal,Apparel,25,0,38,2242.0,0.0
2020-11,Google Crewneck Sweatshirt Navy,Apparel,70,13,44,2156.0,18.57
2020-11,Google Men's Tech Fleece Vest Charcoal,Apparel,33,0,28,2129.0,0.0
2020-11,Google Utility BackPack,Bags,1,0,20,2016.0,0.0
2020-11,Google Cotopaxi Shell,Apparel,63,3,45,1834.0,4.76
2020-11,Google Campus Bike,Accessories,9,0,45,1624.0,0.0
2020-11,Google Camp Mug Ivory,Drinkware,261,29,106,1570.0,11.11
2020-11,Google Thermal Tumbler Navy,Drinkware,201,11,38,1477.0,5.47
2020-11,Google Leather Strap Hat Blue,Apparel,45,6,88,1451.0,13.33
2020-11,Google Dino Game Tee,Apparel,61,5,37,1384.0,8.2
2020-11,Google Raincoat Navy,Apparel,17,0,12,1296.0,0.0
2020-11,Android Iconic Crewneck Sweatshirt,Apparel,24,2,26,1221.0,8.33
2020-11,Google Women's Grid Zip-Up,Apparel,30,0,23,1215.0,0.0
2020-11,Google Canteen Bottle Black,Drinkware,180,14,39,1134.0,7.78
2020-11,Google Women's Tech Fleece Grey,Apparel,22,0,14,1048.0,0.0
2020-11,Google Crew Socks,Apparel,22,2,65,1047.0,9.09
